ID,Title,Platform,Date of release,Genre,Rating,Amount of ratings,Rating Score
125,TWILIGHT STRUGGLE MOBILE,iOS,2016-06-01,,0.91,3440.0,
126,RIMWORLD CONSOLE EDITION,Xbox One,2022-07-01,,0.89,11687.0,
127,SID MEIER'S GETTYSBURG!,PC,1997-09-01,,0.97,176.0,
128,MYTH: THE FALLEN LORDS,PC,1997-10-01,,0.92,899.0,
129,EMPIRE: TOTAL WAR,PC,2009-03-01,,0.96,184.0,
130,COMMAND & CONQUER: RED ALERT,PC,1996-11-01,,0.92,912.0,
131,SACRIFICE (2000),PC,2000-11-01,,0.88,7399.0,
132,HOMEWORLD: CATACLYSM,PC,2000-09-01,,0.94,349.0,
133,COMBAT MISSION: BARBAROSSA TO BERLIN,PC,2002-10-01,,0.86,49696.0,
134,KINGDOM RUSH,iOS,2011-12-01,,0.89,3198.0,
135,ELF DEFENSE ENG,iOS,2012-02-01,,0.91,1226.0,
136,MEDIEVAL: TOTAL WAR,PC,2002-08-01,,0.89,4560.0,
137,STARCRAFT,PC,1998-03-01,,0.9,1864.0,
138,MYTH II: SOULBLIGHTER,PC,1998-11-01,,0.91,761.0,
139,KINGDOM RUSH VENGEANCE,iOS,2018-11-01,,0.9,1671.0,
140,CASTLE DOOMBAD,iOS,2014-01-01,,0.87,17312.0,
141,RIMWORLD,PC,2018-10-01,,0.96,132.0,
142,EUROPA UNIVERSALIS II,PC,2001-11-01,,0.87,15003.0,
143,GOTTA PROTECTORS,3DS,2016-07-01,,0.91,776.0,
144,TINYKIN,Switch,2022-08-01,,0.9,1174.0,
145,SENTINEL 3: HOMEWORLD,iOS,2010-11-01,,0.98,86.0,
146,PIXELJUNK MONSTERS DELUXE,PSP,2009-09-01,,0.93,311.0,
147,THE LAST FRIEND,Switch,2022-04-01,,0.88,3290.0,
148,AGE OF EMPIRES II: DEFINITIVE EDITION,Xbox Series X,2023-01-01,,0.88,2609.0,
149,GROUND CONTROL,PC,2000-06-01,,0.92,379.0,
150,THE LAST FRIEND,PC,2021-09-01,,0.98,59.0,
